image_id,filename,source_class,ttb_id,file,sha256,width_px,height_px,brand_from_cola,class_type_from_cola,producer_from_cola,abv_from_artwork,net_contents_from_artwork,human_judge,heading_bold,warning_body_bold,heading_uppercase,statement_wording_exact,polarity,estimated_heading_cap_height_after_1800px,annotation_note
cola-26222001000694-01,cola-26222001000694-01.jpg,commercial_cola_artwork,26222001000694,images/cola-26222001000694-01.jpg,04410153f71125820015ca40a9b2eec04dfc0e1f075fffa3efee5d8e63316cb5,1635,962,CONCEJO,TABLE RED WINE,"CROD TRADING CORP, CROD TRADING CO CORP. 1 KM 28.6 BO. RIO CANAS BLDG Carr #1 Km 28.6 Bo. Rio Canas CAGUAS PR 00725",13.5,750 mL,Lucas Chatham,ambiguous,,yes,unreadable,dark-on-light,27,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
cola-26226001000481-01,cola-26226001000481-01.jpg,commercial_cola_artwork,26226001000481,images/cola-26226001000481-01.jpg,c4aa4a997fa8e309124ec22789bba69eeabeeb4b00bc608faf5b4dfad42f4618,555,738,SIMON BIZE & FILS,TABLE RED WINE,"INTERNATIONAL WINES, INC. 100 GILBERT DR ALABASTER AL 35007 INTERNATIONAL WINES, INC. (Used on label)",12.5,,Lucas Chatham,yes,,yes,unreadable,dark-on-light,14,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
cola-26228001000039-01,cola-26228001000039-01.jpg,commercial_cola_artwork,26228001000039,images/cola-26228001000039-01.jpg,511d7c85bdd1b356d36c33cb71dfd4a7769471cf97af05501f82af5f0e4e6a24,788,581,RICH & RARE,WHISKY SPECIALTIES,"BUFFALO TRACE DISTILLERY, BUFFALO TRACE DISTILLERY, INC. 113 GREAT BUFFALO TRACE FRANKFORT KY 40601 SAZERAC CO (Used on label)",80,,Lucas Chatham,yes,,yes,unreadable,dark-on-light,13,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
cola-26232001000090-02,cola-26232001000090-02.jpg,commercial_cola_artwork,26232001000090,images/cola-26232001000090-02.jpg,7975b10077fb70f29f32365786ce22169f74f7f0d746d39374ad01c734f31049,1001,352,SYMINGTON,TABLE RED WINE,"Cellars USA, Cellars USA, LLC 239 MIRACLE MILE UNIT W Stonewall TX 78671",,,Lucas Chatham,yes,,yes,unreadable,dark-on-light,19,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
cola-26233001000025-01,cola-26233001000025-01.png,commercial_cola_artwork,26233001000025,images/cola-26233001000025-01.png,452c47f144640b49f515aadb822b6c7af805b3b4d6ba48ccb790b8b5062945b5,542,894,AZIENDA AGRICOLA CASALE,TABLE RED WINE,"NOBLE ESTATES, NOBLE HARVEST , LLC 66 WHITE ST PENTHOUSE 5 New York NY 10016",12.5,,Lucas Chatham,yes,,yes,unreadable,dark-on-light,13,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
cola-26233001000026-02,cola-26233001000026-02.png,commercial_cola_artwork,26233001000026,images/cola-26233001000026-02.png,9d4e1e63cd77aaf18df3321f5513d62cb18d6b190406fe706c0ae80751cedf3f,536,896,AZIENDA AGRICOLA CASALE,TABLE RED WINE,"NOBLE ESTATES, NOBLE HARVEST , LLC 66 WHITE ST PENTHOUSE 5 New York NY 10016",12.5,,Lucas Chatham,yes,,yes,unreadable,dark-on-light,14,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
cola-26233001000352-02,cola-26233001000352-02.png,commercial_cola_artwork,26233001000352,images/cola-26233001000352-02.png,c7eec39d567a3b64fa6de0a1d068be5d370067e74a2f3c0d827553753fb6a77e,979,1032,RIMFIRE,WHISKY,"Old Glory Distilling Company, Cunningham Spirits LLC 451 ALFRED THUN RD CLARKSVILLE TN 37040 RIMFIRE WHISKEY (Used on label)",,,Lucas Chatham,yes,,yes,unreadable,light-on-dark,30,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
cola-26233001000600-02,cola-26233001000600-02.png,commercial_cola_artwork,26233001000600,images/cola-26233001000600-02.png,ed0202006e1ca9b7da1ce14a1f0bdfb740bfdcff05dab59f8897371a28c3d378,290,450,DIONYSUS,TABLE RED WINE,"SCOTTO FAMILY CELLARS, TRI-STAR MARKETING, LLC 220 S CLUFF AVE LODI CA 95240 DIONYSUS WINE & BREW (Used on label)",,,Lucas Chatham,yes,,yes,unreadable,dark-on-light,9,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
cola-26233001000603-02,cola-26233001000603-02.png,commercial_cola_artwork,26233001000603,images/cola-26233001000603-02.png,e62c7f9b1b76385748afd6852dfcb7b19adba3aa9f30089db1855d6ca91a3e92,291,450,DIONYSUS,TABLE WHITE WINE,"SCOTTO FAMILY CELLARS, TRI-STAR MARKETING, LLC 220 S CLUFF AVE LODI CA 95240 DIONYSUS WINE & BREW (Used on label)",,,Lucas Chatham,yes,,yes,unreadable,dark-on-light,9,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
cola-26237001000144-01,cola-26237001000144-01.png,commercial_cola_artwork,26237001000144,images/cola-26237001000144-01.png,609d4aae26c4421f1f91e4bbfa414d4a5818aebf1165db13e10ea551dfe3aca0,2160,3024,PUTIN IS A DICK,ALE,"Coquina Coast Brewing Company, Coquina Coast Brewing Company, Inc. 318 MOODY BLVD Flagler Beach FL 32136",8.2,,Lucas Chatham,yes,yes,yes,unreadable,dark-on-light,31,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
cola-26237001000168-02,cola-26237001000168-02.jpg,commercial_cola_artwork,26237001000168,images/cola-26237001000168-02.jpg,c2ac8b32cb507e677295b1751d5bed4b22e194d7a95aace02050988c17eb4261,1001,352,VISCONDE DE ARNEIROS,DESSERT /PORT/SHERRY/(COOKING) WINE,"Cellars USA, Cellars USA, LLC 239 MIRACLE MILE UNIT W Stonewall TX 78671",19.5,,Lucas Chatham,yes,,yes,unreadable,dark-on-light,19,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
cola-26237001000210-02,cola-26237001000210-02.jpg,commercial_cola_artwork,26237001000210,images/cola-26237001000210-02.jpg,868c5da5daf217a77d10dc73f84df9e9af8a62a339030211d49f1a6111a30d13,1005,355,WARRE'S,DESSERT /PORT/SHERRY/(COOKING) WINE,"Cellars USA, Cellars USA, LLC 239 MIRACLE MILE UNIT W Stonewall TX 78671",20,,Lucas Chatham,yes,,yes,unreadable,dark-on-light,19,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
cola-26238001000141-01,cola-26238001000141-01.jpg,commercial_cola_artwork,26238001000141,images/cola-26238001000141-01.jpg,4d20bb47d77d6ac8ac0e2f97007b7d3863452e8c680a569d6dff05bb7e2ddc9a,2719,900,THORNHILL FARM,BOURBON WHISKY,"Thornhill Farm, Thornhill Farm, LLC 114 PARK LN Ferrisburgh VT 05456 THORNHILL FARM (Used on label)",40,375 mL,Lucas Chatham,yes,,yes,unreadable,light-on-dark,11,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
cola-26238001000296-01,cola-26238001000296-01.png,commercial_cola_artwork,26238001000296,images/cola-26238001000296-01.png,0586a288b5ed658f8448660bb71e4bf32cc15d45ca7678862c4fe567815d210d,2139,1078,MICHIGAN WINE CO,APPLE TABLE WINE/CIDER,MICHIGAN WINE COMPANY LLC 6781 124TH AVE FENNVILLE MI 49408 MICHIGAN WINE COMPANY (Used on label),,,Lucas Chatham,yes,,yes,unreadable,dark-on-light,21,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
cola-26238001000333-01,cola-26238001000333-01.jpg,commercial_cola_artwork,26238001000333,images/cola-26238001000333-01.jpg,621453bed049da9e6e83ee174b5864d789e42d4c2893235ed50309a4a0217ea1,976,1126,PAVON WINES,DESSERT /PORT/SHERRY/(COOKING) WINE,"Pavon Wines, JNT Wines LLC 18915 NE 112TH ST Brush Prairie WA 98606",18,750 mL,Lucas Chatham,yes,,yes,unreadable,light-on-dark,18,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
cola-26239001000576-01,cola-26239001000576-01.png,commercial_cola_artwork,26239001000576,images/cola-26239001000576-01.png,60af0804d4be9ce8aa0d19bdbb9b43b21aa4b39283657707d43ac098969adcfb,745,454,LE CLOS DU CAILLOU,TABLE RED WINE,VINEYARD ROAD INC. 1451 CONCORD AVE FRAMINGHAM MA 01701,14,,Lucas Chatham,yes,,yes,unreadable,dark-on-light,17,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
cola-26239001000582-01,cola-26239001000582-01.png,commercial_cola_artwork,26239001000582,images/cola-26239001000582-01.png,6e21c13ae470996eebcd60c41dce4601cdff12e3d0b2ec7c58ef71a3e5e72ee5,744,448,LE CLOS DU CAILLOU,DESSERT /PORT/SHERRY/(COOKING) WINE,VINEYARD ROAD INC. 1451 CONCORD AVE FRAMINGHAM MA 01701,14.5,,Lucas Chatham,yes,,yes,unreadable,dark-on-light,17,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
cola-26239001000600-01,cola-26239001000600-01.png,commercial_cola_artwork,26239001000600,images/cola-26239001000600-01.png,aa7f8b4f2d0146e5063d3e424278962a5895c070d1971958169cfeb2ddf59ee3,746,453,CLOS DU CAILLOU,TABLE WHITE WINE,VINEYARD ROAD INC. 1451 CONCORD AVE FRAMINGHAM MA 01701,18,,Lucas Chatham,yes,,yes,unreadable,dark-on-light,17,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
cola-26239001000677-01,cola-26239001000677-01.jpg,commercial_cola_artwork,26239001000677,images/cola-26239001000677-01.jpg,72d80809bf56033bc7763a98af4173b41e40711e89e131d8659124e8cfa5894e,352,500,TENUTE VALSO,TABLE WHITE WINE,Wine Affairs Inc. 65 -17 FRESH POND RD UNIT 201 Ridgewood NY 11385 WINE AFFAIRS INC (Used on label),12.5,,Lucas Chatham,yes,,yes,unreadable,dark-on-light,28,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
prior-bruery-back-1,prior-bruery-back-1.jpg,commercial_cola_artwork,24009001000259,images/prior-bruery-back-1.jpg,89219f055dd47591158808176a0b8edd8873fe6ccbbe7f6eecae1857fa2faf76,1250,1266,,,,14.7,,Lucas Chatham,yes,,yes,unreadable,dark-on-light,47,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
prior-lote-maestro-back-2,prior-lote-maestro-back-2.jpg,commercial_cola_artwork,21166001000392,images/prior-lote-maestro-back-2.jpg,b4923e454342d3134962798c9d8c08f0d6b2ad861dcd59532fd37858837e2acc,230,517,,,,,,Lucas Chatham,yes,,yes,unreadable,dark-on-light,,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
prior-ontanon-back-0,prior-ontanon-back-0.jpg,commercial_cola_artwork,24025001000776,images/prior-ontanon-back-0.jpg,6223609fa3c2f06020c50aa40e04d0624035ec030cbc97775b5963afcbc963d6,1558,739,,,,12.5,750 mL,Lucas Chatham,yes,,yes,unreadable,dark-on-light,11,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
prior-vadio-back-0,prior-vadio-back-0.jpg,commercial_cola_artwork,24213001000927,images/prior-vadio-back-0.jpg,8fd0d05da29e6636c2d25a51b6b4a05eaa44265298445a90c0dff0fec488a21b,471,803,,,,13,750 mL,Lucas Chatham,yes,,yes,unreadable,dark-on-light,10,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
prior-buffalo-trace-back,prior-buffalo-trace-back.jpg,commercial_cola_artwork,24009001000244,images/prior-buffalo-trace-back.jpg,d1bcdb4a4dbef34ed6f96955e7f3edf4fb4a69769cf8cec8ed023b5ef813c4f9,1202,1064,,,,45,750 mL,Lucas Chatham,yes,,yes,unreadable,dark-on-light,,Boldness from Lucas Chatham before app run; other annotations are OCR-assisted visual estimates. Wording marked unreadable when not independently resolved. Application ABV/volume are only entered where artwork transcription was sufficiently clear; blanks mean unresolved.
