filename,brand,type,abv,volume,producer,imported,country
cola-26238001000296-01.png,MICHIGAN WINE CO,APPLE TABLE WINE/CIDER,,unknown,MICHIGAN WINE COMPANY LLC 6781 124TH AVE FENNVILLE MI 49408 MICHIGAN WINE COMPANY (Used on label),false,
cola-26238001000333-01.jpg,PAVON WINES,DESSERT /PORT/SHERRY/(COOKING) WINE,18,750 mL,"Pavon Wines, JNT Wines LLC 18915 NE 112TH ST Brush Prairie WA 98606",false,
cola-26239001000576-01.png,LE CLOS DU CAILLOU,TABLE RED WINE,14,unknown,VINEYARD ROAD INC. 1451 CONCORD AVE FRAMINGHAM MA 01701,false,
cola-26239001000582-01.png,LE CLOS DU CAILLOU,DESSERT /PORT/SHERRY/(COOKING) WINE,14.5,unknown,VINEYARD ROAD INC. 1451 CONCORD AVE FRAMINGHAM MA 01701,false,
cola-26239001000600-01.png,CLOS DU CAILLOU,TABLE WHITE WINE,18,unknown,VINEYARD ROAD INC. 1451 CONCORD AVE FRAMINGHAM MA 01701,false,
cola-26239001000677-01.jpg,TENUTE VALSO,TABLE WHITE WINE,12.5,unknown,Wine Affairs Inc. 65 -17 FRESH POND RD UNIT 201 Ridgewood NY 11385 WINE AFFAIRS INC (Used on label),false,
prior-bruery-back-1.jpg,unresolved,unresolved,14.7,unknown,,false,
prior-lote-maestro-back-2.jpg,unresolved,unresolved,,unknown,,false,
prior-ontanon-back-0.jpg,unresolved,unresolved,12.5,750 mL,,false,
prior-vadio-back-0.jpg,unresolved,unresolved,13,750 mL,,false,
prior-buffalo-trace-back.jpg,unresolved,unresolved,45,750 mL,,false,
